ID,cluster,cluster16,img
mibd00545,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/mibd00545/mibd00545ps.jpg
mkck00063,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/mkck00063/mkck00063ps.jpg
mugon00095,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/mugon00095/mugon00095ps.jpg
mugon00111,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/mugon00111/mugon00111ps.jpg
mugon00114,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/mugon00114/mugon00114ps.jpg
opkt00003,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/opkt00003/opkt00003ps.jpg
pgd00307,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/pgd00307/pgd00307ps.jpg
ptko00019,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/ptko00019/ptko00019ps.jpg
stc00018,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/stc00018/stc00018ps.jpg
tken00002,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/tken00002/tken00002ps.jpg
tywd00046,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/tywd00046/tywd00046ps.jpg
vagu00034,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/vagu00034/vagu00034ps.jpg
veo00005,1_1_2,1_1,http://pics.dmm.co.jp/digital/video/veo00005/veo00005ps.jpg
118rdd00088,1_1_3,1_1,http://pics.dmm.co.jp/digital/video/118rdd00088/118rdd00088ps.jpg
118rdd00130,1_1_3,1_1,http://pics.dmm.co.jp/digital/video/118rdd00130/118rdd00130ps.jpg
118rdt00204,1_1_3,1_1,http://pics.dmm.co.jp/digital/video/118rdt00204/118rdt00204ps.jpg
118yrz00027,1_1_3,1_1,http://pics.dmm.co.jp/digital/video/118yrz00027/118yrz00027ps.jpg
125ud00625r,1_1_3,1_1,http://pics.dmm.co.jp/digital/video/125ud00625r/125ud00625rps.jpg
15ald00531,1_1_3,1_1,http://pics.dmm.co.jp/digital/video/15ald00531/15ald00531ps.jpg
15ald00671,1_1_3,1_1,http://pics.dmm.co.jp/digital/video/15ald00671/15ald00671ps.jpg
15dbud00017,1_1_3,1_1,http://pics.dmm.co.jp/digital/video/15dbud00017/15dbud00017ps.jpg
15gryd00009,1_1_3,1_1,http://pics.dmm.co.jp/digital/video/15gryd00009/15gryd00009ps.jpg
